segment,label,text,video,segment2,session,dialog,frames_num,wav_num
Ses01F_impro01_F000,N, Excuse me.,Ses01F_impro01,Fses01Aimprov01x00N,Session1,Session1/dialogAimprov01,58.0,31129
Ses01F_impro01_F001,N, Yeah.,Ses01F_impro01,Fses01Aimprov01x01N,Session1,Session1/dialogAimprov01,42.0,22119
Ses01F_impro01_F002,N, Is there a problem?,Ses01F_impro01,Fses01Aimprov01x02N,Session1,Session1/dialogAimprov01,94.0,50084
Ses01F_impro01_F005,N, Well what's the problem?  Let me change it.,Ses01F_impro01,Fses01Aimprov01x05N,Session1,Session1/dialogAimprov01,121.0,64479
Ses01F_impro01_F012,A, That's out of control.,Ses01F_impro01,Fses01Aimprov01x12A,Session1,Session1/dialogAimprov01,83.0,44000
Ses01F_impro01_M011,A, I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,Ses01F_impro01,Mses01Aimprov01x11A,Session1,Session1/dialogAimprov01,218.0,115839
Ses01F_impro01_F014,N," Clearly.  You know, do you have like a supervisor or something?",Ses01F_impro01,Fses01Aimprov01x14N,Session1,Session1/dialogAimprov01,152.0,81120
Ses01F_impro01_M013,A, Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,Ses01F_impro01,Mses01Aimprov01x13A,Session1,Session1/dialogAimprov01,181.0,96479
Ses01F_impro02_F000,S, Did you get the mail? So you saw my letter?,Ses01F_impro02,Fses01Aimprov02x00S,Session1,Session1/dialogAimprov02,280.0,149299
Ses01F_impro02_F001,S, Yeah.  I know.,Ses01F_impro02,Fses01Aimprov02x01S,Session1,Session1/dialogAimprov02,87.0,46880
Ses01F_impro02_M001,S," I don't understand.  You've already done so much, I don't know why do you have to go back.",Ses01F_impro02,Mses01Aimprov02x01S,Session1,Session1/dialogAimprov02,174.0,92733
Ses01F_impro02_F002,S, I don't know.  I put in that. request too. They didn't...,Ses01F_impro02,Fses01Aimprov02x02S,Session1,Session1/dialogAimprov02,172.0,91576
Ses01F_impro02_F003,N," I guess, you know, everybody has to make sacrifices.",Ses01F_impro02,Fses01Aimprov02x03N,Session1,Session1/dialogAimprov02,170.0,90440
Ses01F_impro02_F004,S," There's people that have given more though, you know?",Ses01F_impro02,Fses01Aimprov02x04S,Session1,Session1/dialogAimprov02,173.0,92319
Ses01F_impro02_F005,S, I know.,Ses01F_impro02,Fses01Aimprov02x05S,Session1,Session1/dialogAimprov02,77.0,40960
Ses01F_impro02_F006,N," There's babies over there, though, that need mothers.",Ses01F_impro02,Fses01Aimprov02x06N,Session1,Session1/dialogAimprov02,126.0,67440
Ses01F_impro02_M005,S, I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,Ses01F_impro02,Mses01Aimprov02x05S,Session1,Session1/dialogAimprov02,149.0,79199
Ses01F_impro02_F008,S," Just, you know, kicking myself.",Ses01F_impro02,Fses01Aimprov02x08S,Session1,Session1/dialogAimprov02,117.0,62189
Ses01F_impro02_F010,S, things just aren't what they seem.,Ses01F_impro02,Fses01Aimprov02x10S,Session1,Session1/dialogAimprov02,128.0,68000
Ses01F_impro02_M009,S, I just don't see why it has to be you.,Ses01F_impro02,Mses01Aimprov02x09S,Session1,Session1/dialogAimprov02,111.0,58760
Ses01F_impro02_F012,S," If not me then, who?",Ses01F_impro02,Fses01Aimprov02x12S,Session1,Session1/dialogAimprov02,91.0,48488
Ses01F_impro02_M010,S, What am I going to do? Huh?,Ses01F_impro02,Mses01Aimprov02x10S,Session1,Session1/dialogAimprov02,127.0,67511
Ses01F_impro02_F013,S," You'll videotape everything, yeah?",Ses01F_impro02,Fses01Aimprov02x13S,Session1,Session1/dialogAimprov02,183.0,98007
Ses01F_impro02_M011,S, Yeah.,Ses01F_impro02,Mses01Aimprov02x11S,Session1,Session1/dialogAimprov02,97.0,51519
Ses01F_impro02_F014,S," Maybe you can send it to me, like stream it, yeah?",Ses01F_impro02,Fses01Aimprov02x14S,Session1,Session1/dialogAimprov02,222.0,118400
Ses01F_impro02_M012,N, Don't you guys have access to computers over there.,Ses01F_impro02,Mses01Aimprov02x12N,Session1,Session1/dialogAimprov02,140.0,74881
Ses01F_impro02_F015,S, Last month--  Yeah.,Ses01F_impro02,Fses01Aimprov02x15S,Session1,Session1/dialogAimprov02,107.0,57406
Ses01F_impro02_M013,S, I just don't know how I'm going to do it without you.,Ses01F_impro02,Mses01Aimprov02x13S,Session1,Session1/dialogAimprov02,142.0,75680
Ses01F_impro02_F016,N, I have to find sitters.,Ses01F_impro02,Fses01Aimprov02x16N,Session1,Session1/dialogAimprov02,66.0,35039
Ses01F_impro02_M014,S, I can't raise a baby by myself.  How?,Ses01F_impro02,Mses01Aimprov02x14S,Session1,Session1/dialogAimprov02,138.0,73840
Ses01F_impro02_F017,S," We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",Ses01F_impro02,Fses01Aimprov02x17S,Session1,Session1/dialogAimprov02,199.0,106479
Ses01F_impro02_M015,N, I know.,Ses01F_impro02,Mses01Aimprov02x15N,Session1,Session1/dialogAimprov02,38.0,20000
Ses01F_impro02_F018,N, And your mother is close by.,Ses01F_impro02,Fses01Aimprov02x18N,Session1,Session1/dialogAimprov02,92.0,48800
Ses01F_impro02_F019,S, I'll send you lots of letters.,Ses01F_impro02,Fses01Aimprov02x19S,Session1,Session1/dialogAimprov02,92.0,48950
Ses01F_impro02_F020,S, And I want lots and lots and lots of pictures.,Ses01F_impro02,Fses01Aimprov02x20S,Session1,Session1/dialogAimprov02,136.0,72479
Ses01F_impro03_M000,N, So what's up?  What's new?,Ses01F_impro03,Mses01Aimprov03x00N,Session1,Session1/dialogAimprov03,67.0,35519
Ses01F_impro03_F000,H, Well Vegas was awesome.,Ses01F_impro03,Fses01Aimprov03x00H,Session1,Session1/dialogAimprov03,86.0,45760
Ses01F_impro03_M001,N, Yeah.  I heard.,Ses01F_impro03,Mses01Aimprov03x01N,Session1,Session1/dialogAimprov03,62.0,32959
Ses01F_impro03_F001,H," And, um, I got married.",Ses01F_impro03,Fses01Aimprov03x01H,Session1,Session1/dialogAimprov03,103.0,55039
Ses01F_impro03_F002,H, Yeah.  In the old town part.,Ses01F_impro03,Fses01Aimprov03x02H,Session1,Session1/dialogAimprov03,77.0,41119
Ses01F_impro03_M003,H, Who did you marry?,Ses01F_impro03,Mses01Aimprov03x03H,Session1,Session1/dialogAimprov03,119.0,63640
Ses01F_impro03_F004,H, Um- Yes.  It was very romantic.,Ses01F_impro03,Fses01Aimprov03x04H,Session1,Session1/dialogAimprov03,114.0,60319
Ses01F_impro03_F005,H, It was at the slot machines.,Ses01F_impro03,Fses01Aimprov03x05H,Session1,Session1/dialogAimprov03,77.0,41306
Ses01F_impro03_F006,H," Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",Ses01F_impro03,Fses01Aimprov03x06H,Session1,Session1/dialogAimprov03,190.0,101440
Ses01F_impro03_M006,N, He turned to you and was like...,Ses01F_impro03,Mses01Aimprov03x06N,Session1,Session1/dialogAimprov03,62.0,33440
Ses01F_impro03_M007,H, [LAUGHTER] That's really romantic.,Ses01F_impro03,Mses01Aimprov03x07H,Session1,Session1/dialogAimprov03,82.0,44039
Ses01F_impro03_F008,H," Yeah.  Well.  You know, because he's leaving the next day.",Ses01F_impro03,Fses01Aimprov03x08H,Session1,Session1/dialogAimprov03,80.0,42720
Ses01F_impro03_M008,N, Yeah.,Ses01F_impro03,Mses01Aimprov03x08N,Session1,Session1/dialogAimprov03,39.0,21119
Ses01F_impro03_F009,H, But we're going to have a honeymoon cruise.,Ses01F_impro03,Fses01Aimprov03x09H,Session1,Session1/dialogAimprov03,51.0,27199
Ses01F_impro03_M009,N," Does that mean that you're going to get citizenship, too, in- in England or whatever?",Ses01F_impro03,Mses01Aimprov03x09N,Session1,Session1/dialogAimprov03,147.0,78560
Ses01F_impro03_F010,H, Oh.  I hadn't even thought about that.,Ses01F_impro03,Fses01Aimprov03x10H,Session1,Session1/dialogAimprov03,96.0,51279
Ses01F_impro03_M011,N, Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,Ses01F_impro03,Mses01Aimprov03x11N,Session1,Session1/dialogAimprov03,118.0,62880
Ses01F_impro03_F012,H, Oh.  Totally.,Ses01F_impro03,Fses01Aimprov03x12H,Session1,Session1/dialogAimprov03,68.0,36559
Ses01F_impro03_F013,H, I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],Ses01F_impro03,Fses01Aimprov03x13H,Session1,Session1/dialogAimprov03,154.0,82079
Ses01F_impro03_M013,H, Like you need another one of those.[LAUGHTER],Ses01F_impro03,Mses01Aimprov03x13H,Session1,Session1/dialogAimprov03,84.0,44760
Ses01F_impro03_M014,H, Is that your phone?,Ses01F_impro03,Mses01Aimprov03x14H,Session1,Session1/dialogAimprov03,108.0,57399
Ses01F_impro03_F015,H," Yeah, so [LAUGHTER] He's calling me now",Ses01F_impro03,Fses01Aimprov03x15H,Session1,Session1/dialogAimprov03,137.0,73199
Ses01F_impro03_M015,H, He loves you.,Ses01F_impro03,Mses01Aimprov03x15H,Session1,Session1/dialogAimprov03,65.0,34880
Ses01F_impro03_F016,H," He likes to keep tabs, you know.",Ses01F_impro03,Fses01Aimprov03x16H,Session1,Session1/dialogAimprov03,62.0,32839
Ses01F_impro03_M016,N, How much did he win at the slot?,Ses01F_impro03,Mses01Aimprov03x16N,Session1,Session1/dialogAimprov03,54.0,28880
